?Date,BVMF:BBAS3,BVMF:BBDC3,BVMF:BBDC4,BVMF:BRAP4,BVMF:BRKM5,BVMF:BRML3,BVMF:CCRO3,BVMF:CESP6,BVMF:CIEL3,BVMF:CMIG4,BVMF:CPFE3,BVMF:CPLE6,BVMF:CRUZ3,BVMF:CSNA3,BVMF:CTIP3,BVMF:CYRE3,BVMF:DTEX3,BVMF:ELET3,BVMF:ELET6,BVMF:EMBR3,BVMF:ENBR3,BVMF:ESTC3,BVMF:EVEN3,BVMF:FIBR3,BVMF:GGBR4,BVMF:GOAU4,BVMF:GOLL4,BVMF:HGTX3,BVMF:HYPE3,BVMF:ITSA4,BVMF:ITUB4,BVMF:JBSS3,BVMF:LAME4,BVMF:LIGT3,BVMF:LREN3,BVMF:MRFG3,BVMF:MRVE3,BVMF:MULT3,BVMF:NATU3,BVMF:OIBR4,BVMF:PCAR4,BVMF:PDGR3,BVMF:PETR3,BVMF:PETR4,BVMF:POMO4,BVMF:RENT3,BVMF:SANB11,BVMF:SBSP3,BVMF:SUZB5,BVMF:TBLE3,BVMF:TIMP3,BVMF:USIM5,BVMF:VALE3,BVMF:VALE5,BVMF:VIVT4
2010-01-04,30.0,31.0,37.93,39.2,14.53,11.04,10.05,24.84,19.75,31.74,365.0,38.25,12.2,28.24,14.2,24.55,14.0,37.98,33.3,9.87,11.4,8.34,8.5,39.31,29.80,35.95,26.4,10.0,20.6,9.3,3346.28,9.69,12.71,26.09,40.32,19.55,13.96,34.25,37.97,17.05,65.42,8.2,41.86,37.32,3.52,18.72,1322.75,11.55,20.95,21.62,5.21,25.69,51.49,43.52,43.53
2010-01-05,30.1,31.0,38.04,40.08,14.65,11.03,10.22,25.74,19.81,31.85,367.6,38.75,12.4,28.74,14.2,24.35,14.63,38.0,33.64,9.93,11.59,8.22,8.57,41.5,30.17,36.31,26.38,9.89,20.93,9.36,3337.19,9.75,12.63,25.64,40.91,20.9,13.81,34.0,39.12,17.49,65.97,8.17,41.86,37.43,3.52,19.09,1319.45,11.51,21.77,21.75,5.29,25.74,52.54,44.48,43.49
2010-01-06,30.0,30.73,37.65,40.81,14.55,11.54,10.62,25.61,19.69,31.99,368.0,39.22,12.43,28.62,14.8,24.37,15.25,37.9,32.96,9.67,11.6,8.3,8.25,41.42,30.38,36.56,26.54,10.0,22.01,9.31,3346.28,9.88,12.24,25.1,39.22,21.85,13.8,34.43,38.4,17.7,65.5,8.05,42.05,37.5,3.62,20.57,1317.25,11.34,22.1,21.86,5.37,25.72,53.37,45.14,43.29
2010-01-07,29.71,30.34,37.26,41.0,14.4,11.57,10.58,26.25,20.28,31.59,363.5,38.57,12.3,28.41,14.93,24.28,15.15,37.86,32.8,9.59,11.58,8.3,8.2,40.45,30.38,36.52,26.66,10.28,22.44,9.16,3309.92,9.95,12.18,24.97,39.14,22.5,13.75,34.0,38.15,17.45,65.97,8.02,42.87,37.45,3.71,20.12,1308.45,11.23,21.98,21.77,5.3,25.79,53.54,45.55,43.32
2010-01-08,29.82,30.5,37.29,41.64,14.14,11.58,10.57,26.24,20.44,31.11,368.6,38.63,12.68,29.02,14.9,23.94,15.11,39.4,34.07,9.54,11.73,8.17,7.96,40.65,29.88,36.06,28.2,10.2,22.89,9.13,3287.6,10.06,12.06,24.67,38.56,23.26,13.49,34.08,36.81,17.4,65.62,7.92,41.86,37.39,3.78,20.05,1303.5,11.47,22.11,21.71,5.23,25.80,54.24,46.05,43.0
2010-01-11,30.07,30.61,37.35,42.05,15.25,11.49,10.54,25.45,20.06,31.25,372.5,39.0,12.76,29.38,15.93,23.97,15.32,39.1,33.79,9.54,11.94,8.2,7.98,40.36,29.99,36.54,28.82,10.3,23.1,9.15,3260.33,10.04,12.14,24.35,38.66,23.0,13.27,32.75,36.5,17.4,65.01,7.78,41.89,37.34,3.83,20.1,1317.25,11.46,22.65,21.66,5.28,25.90,54.6,46.23,42.94
2010-01-12,30.45,30.5,37.42,41.79,15.24,11.08,10.54,25.59,19.32,31.06,378.0,39.68,12.59,29.00,15.96,24.12,15.62,37.78,32.9,9.87,12.36,8.13,7.74,39.12,29.72,36.50,27.61,10.3,22.05,9.05,3200.83,9.75,12.18,24.26,39.66,22.08,13.53,31.81,36.2,17.05,66.0,8.08,41.0,36.68,3.9,20.29,1311.75,11.32,22.29,21.25,5.17,25.20,53.5,45.85,42.64
2010-01-13,30.28,30.6,37.47,42.33,15.41,11.14,10.56,26.11,19.14,31.14,378.5,39.55,12.45,29.54,16.5,24.35,15.78,38.15,33.21,9.96,12.23,7.96,8.28,38.98,29.75,36.33,27.8,11.0,21.49,9.09,3221.49,9.89,12.34,24.61,39.97,22.2,13.49,31.92,36.4,17.17,66.2,8.16,41.01,36.74,3.98,21.16,1316.7,11.33,22.2,21.2,5.2,25.30,54.38,46.6,42.64
2010-01-14,30.09,30.45,37.48,42.41,15.09,11.0,10.8,25.8,18.94,31.18,373.7,38.9,12.65,29.70,16.35,23.93,15.05,38.87,33.51,9.8,12.51,7.64,8.3,37.72,29.93,36.30,27.85,10.75,21.69,9.05,3206.61,10.6,12.32,24.78,39.91,22.6,13.4,31.79,36.2,16.94,67.79,8.22,40.4,36.46,3.9,21.49,1311.75,11.37,22.09,21.14,5.21,25.04,54.8,46.79,42.37
2010-01-15,29.95,30.17,36.78,41.8,14.93,10.6,10.62,25.28,18.99,30.6,371.0,38.3,12.74,29.44,16.5,23.63,14.47,37.25,32.34,9.84,12.43,7.64,8.19,36.11,29.44,35.55,27.08,11.67,21.98,8.93,3164.46,10.71,12.04,24.44,38.68,22.84,13.44,32.26,35.47,15.15,68.15,8.16,40.2,36.1,3.96,20.83,1292.5,11.25,21.22,20.9,5.16,25.27,53.99,46.35,42.34
2010-01-18,29.54,29.92,36.67,42.38,14.69,10.57,10.55,25.3,19.2,30.04,367.9,38.5,12.8,29.18,16.87,23.58,14.32,36.3,31.39,9.82,12.44,7.8,8.12,36.9,29.25,35.13,26.71,11.56,21.74,8.83,3138.84,10.45,12.1,24.32,39.3,23.06,13.23,32.29,35.52,15.05,67.95,8.3,41.17,36.67,3.95,21.13,1276.0,11.26,21.7,20.5,5.34,25.46,54.35,46.85,42.36
2010-01-19,29.86,30.5,37.1,43.0,14.43,10.97,11.09,25.32,19.11,29.87,367.8,37.98,12.76,29.40,17.1,23.19,14.35,37.55,32.28,10.14,12.33,7.65,8.15,38.15,28.90,35.00,27.02,11.58,22.06,8.83,3142.98,10.59,11.82,24.26,39.2,24.15,13.36,32.67,36.08,14.53,68.24,8.04,40.86,36.65,3.99,21.22,1278.2,11.02,22.1,20.64,5.32,25.54,55.0,47.5,42.04
2010-01-20,29.62,27.39,33.33,42.35,14.19,11.1,11.1,24.79,18.76,29.71,364.0,37.8,12.64,29.05,17.0,22.81,14.05,39.1,32.7,10.24,12.16,7.5,8.11,38.79,28.55,34.60,26.54,11.65,22.49,8.72,3080.17,10.35,11.63,24.4,38.58,23.9,13.33,31.62,35.88,14.32,68.4,7.87,40.29,36.15,4.0,21.04,1267.75,10.75,22.45,20.62,5.11,25.22,54.41,47.07,42.04
2010-01-21,29.03,26.85,32.87,41.64,14.22,11.24,11.16,24.2,18.54,29.85,364.1,37.75,12.74,28.74,16.52,22.15,13.93,38.36,31.85,10.17,12.16,7.42,8.13,37.98,27.89,33.95,26.07,11.6,22.65,8.6,3040.5,10.09,11.4,24.29,37.72,23.15,13.19,31.15,35.6,14.25,68.45,7.88,40.5,35.7,3.88,20.65,1258.95,10.65,21.98,20.75,5.13,24.55,53.6,46.6,42.04
2010-01-22,28.7,26.4,32.01,40.29,14.55,11.03,10.8,22.94,19.26,29.81,366.4,37.8,12.6,27.55,16.16,21.95,14.04,43.59,36.29,9.99,12.07,7.12,7.77,36.26,26.80,32.80,24.45,11.21,21.8,8.56,3016.53,9.61,11.02,24.44,36.7,22.99,12.86,30.39,35.49,13.8,65.18,7.74,38.72,34.8,3.83,19.47,1232.0,10.48,21.69,20.78,5.25,23.80,51.55,44.74,42.48
2010-01-26,28.2,26.49,32.09,39.22,13.79,11.0,10.18,23.6,19.58,30.7,369.2,38.14,12.43,27.10,16.1,21.82,14.1,42.19,35.2,9.84,12.19,7.08,7.77,34.05,26.60,32.53,24.49,11.03,21.3,8.51,3015.7,9.5,10.67,24.7,36.0,22.06,12.55,30.38,35.01,13.75,64.8,7.8,38.11,34.34,3.75,20.38,1234.75,10.24,20.73,20.6,5.17,23.78,50.27,43.56,42.0
2010-01-27,28.0,26.29,31.86,38.96,13.6,10.87,10.37,23.55,19.18,30.97,368.0,38.48,12.52,27.20,15.98,22.25,13.92,40.4,34.89,9.83,12.11,7.18,7.64,34.25,26.45,32.48,24.6,11.0,21.49,8.46,2995.04,9.36,10.82,25.07,36.37,22.08,12.58,30.29,34.98,13.83,63.9,7.8,38.3,34.29,3.7,19.85,1237.5,10.26,20.34,20.69,5.1,23.95,49.64,42.63,41.88
2010-01-28,27.99,26.4,31.87,39.3,13.61,10.62,10.38,23.73,19.1,31.0,366.8,38.48,12.6,27.38,15.5,22.55,13.81,39.81,33.85,9.8,11.98,7.3,7.7,34.64,26.25,32.40,24.45,10.6,21.85,8.5,3048.76,9.42,10.91,25.55,35.93,22.26,12.68,30.36,35.45,13.78,63.9,7.77,38.85,34.69,3.72,19.23,1250.15,10.43,20.44,20.63,5.11,24.45,49.88,42.89,41.83
2010-01-29,28.46,26.3,32.21,39.45,13.42,10.58,10.37,25.45,19.28,31.83,369.8,39.7,12.39,27.85,15.4,22.45,13.63,40.35,34.87,10.04,12.0,7.5,7.68,35.05,26.24,32.04,24.38,10.5,22.15,8.63,3080.17,9.48,10.98,25.52,36.05,22.5,12.2,30.25,34.98,13.57,63.47,7.52,39.41,35.05,3.88,19.33,1256.75,10.75,20.6,20.6,5.1,25.12,49.95,43.12,41.7
2010-02-01,30.02,26.1,31.99,40.0,13.46,10.35,10.36,24.75,18.81,31.82,370.0,39.21,12.4,28.45,15.2,22.8,13.71,29.94,35.18,10.0,11.9,7.74,7.65,35.44,26.16,31.95,23.49,10.9,22.9,8.6,3063.64,9.61,10.78,25.34,36.4,23.38,12.5,30.19,35.0,13.2,63.73,7.79,38.63,34.49,3.92,19.51,1256.2,10.83,20.93,20.34,5.02,25.40,50.55,43.72,41.7
2010-02-02,30.75,26.47,32.57,40.4,13.56,10.64,10.36,24.8,19.08,31.4,371.8,39.32,12.72,28.58,15.3,23.1,14.21,29.0,33.98,9.78,11.91,7.74,7.58,35.98,26.89,33.15,24.65,11.62,23.95,8.81,3113.22,9.61,11.04,25.37,36.99,24.0,12.94,30.29,34.95,13.3,65.35,7.92,38.73,34.67,4.1,19.91,1229.25,10.83,20.75,20.45,5.23,25.45,51.19,44.16,41.89
2010-02-03,30.5,26.49,32.69,40.09,13.46,10.9,10.35,25.2,19.51,30.62,370.0,38.59,12.74,28.65,15.39,23.13,14.38,28.72,33.3,10.04,11.8,7.73,7.44,36.07,26.95,33.20,25.38,11.43,24.2,8.77,3105.79,9.6,11.36,25.45,38.77,23.83,12.94,31.39,35.8,13.54,65.19,7.82,38.43,34.18,4.11,19.62,1234.75,10.77,20.59,20.05,5.24,25.32,50.61,43.97,41.58
2010-02-04,29.64,26.28,32.05,39.57,13.25,10.68,10.21,24.88,19.46,30.17,368.4,37.95,12.69,28.45,15.0,22.88,14.01,27.31,31.58,9.94,11.74,7.5,7.33,35.0,26.30,32.24,24.0,11.37,24.0,8.62,3049.59,9.58,11.2,25.44,38.4,23.42,12.59,31.34,34.89,13.71,63.8,7.65,38.12,33.94,3.98,19.1,1233.1,10.73,20.24,19.98,5.12,24.96,49.8,43.21,41.48
2010-02-05,29.2,25.49,31.35,37.95,12.95,10.47,9.9,24.25,18.88,29.79,367.4,37.92,12.41,27.58,14.28,21.4,13.76,25.56,30.15,9.84,11.55,7.13,6.71,34.1,25.23,30.99,23.77,11.0,23.4,8.43,2980.99,9.11,10.54,25.22,37.3,22.65,11.97,30.05,35.81,13.18,61.11,7.32,36.41,32.27,3.77,18.13,1140.7,10.38,20.0,19.84,4.9,24.56,47.4,41.28,41.39
2010-02-08,28.42,24.99,30.55,38.24,13.34,10.7,9.67,25.9,18.38,30.13,366.4,37.77,12.68,27.52,14.6,21.94,13.45,24.8,30.05,9.77,11.57,7.04,6.76,34.88,24.96,30.65,23.7,11.27,22.45,8.22,2909.92,9.24,10.31,25.65,37.48,21.99,12.44,30.49,33.5,13.29,61.76,7.46,36.72,32.26,3.9,18.35,1157.2,10.3,19.76,19.95,4.95,24.14,48.7,41.93,40.59
2010-02-09,30.6,25.69,31.59,39.05,13.45,11.0,9.64,25.48,17.88,30.65,371.5,38.95,12.9,28.20,15.3,22.23,13.78,25.25,30.45,9.84,11.64,7.02,7.2,35.9,25.23,30.81,25.06,11.47,23.31,8.56,3012.4,9.23,10.52,26.36,38.44,21.94,13.05,31.79,34.6,13.19,64.71,7.88,37.07,32.68,4.0,18.52,1181.4,10.53,20.06,19.94,5.1,24.12,49.2,42.81,40.98
2010-02-10,30.41,25.7,31.45,38.62,13.3,11.12,9.74,24.87,17.95,30.61,377.9,39.03,12.45,28.55,15.1,22.94,13.96,24.97,30.32,9.9,11.87,7.22,7.25,35.98,25.18,30.67,25.49,11.37,23.3,8.56,3031.4,9.33,10.4,26.45,37.94,23.0,13.15,31.71,33.62,13.4,65.39,8.14,37.34,32.73,3.98,19.05,1185.25,10.63,20.18,19.88,5.08,23.90,48.9,42.55,40.54
