?Date,BVMF:BBAS3,BVMF:BBDC3,BVMF:BBDC4,BVMF:BRAP4,BVMF:BRKM5,BVMF:BRML3,BVMF:CCRO3,BVMF:CESP6,BVMF:CIEL3,BVMF:CMIG4,BVMF:CPFE3,BVMF:CPLE6,BVMF:CRUZ3,BVMF:CSNA3,BVMF:CTIP3,BVMF:CYRE3,BVMF:DTEX3,BVMF:ELET3,BVMF:ELET6,BVMF:EMBR3,BVMF:ENBR3,BVMF:ESTC3,BVMF:EVEN3,BVMF:FIBR3,BVMF:GGBR4,BVMF:GOAU4,BVMF:GOLL4,BVMF:HGTX3,BVMF:HYPE3,BVMF:ITSA4,BVMF:ITUB4,BVMF:JBSS3,BVMF:LAME4,BVMF:LIGT3,BVMF:LREN3,BVMF:MRFG3,BVMF:MRVE3,BVMF:MULT3,BVMF:NATU3,BVMF:OIBR4,BVMF:PCAR4,BVMF:PDGR3,BVMF:PETR3,BVMF:PETR4,BVMF:POMO4,BVMF:RENT3,BVMF:SANB11,BVMF:SBSP3,BVMF:SUZB5,BVMF:TBLE3,BVMF:TIMP3,BVMF:USIM5,BVMF:VALE3,BVMF:VALE5,BVMF:VIVT4
2010-01-04,29.7,29.99,36.8,38.44,14.2,10.78,9.79,23.51,19.0,31.28,356.4,37.08,11.66,27.98,14.0,23.82,13.48,36.38,31.83,9.53,11.13,7.92,8.1,38.9,29.28,35.01,26.06,9.55,19.91,8.95,3214.05,9.38,12.45,25.5,39.23,18.91,13.48,32.46,36.35,16.8,64.75,7.9,41.4,36.82,3.38,18.0,1302.95,11.07,20.21,21.39,5.1,24.70,49.8,42.49,43.14
2010-01-05,29.19,30.21,36.96,39.21,14.12,10.82,9.96,24.64,19.3,31.42,360.6,37.85,12.08,28.05,14.0,23.86,13.89,37.32,32.31,9.59,11.21,7.62,8.03,39.3,29.65,35.71,25.64,9.83,20.43,9.17,3297.52,9.52,12.16,24.8,38.8,19.7,13.53,33.3,37.29,17.16,64.11,7.98,41.15,36.8,3.45,18.26,1289.2,11.19,20.96,21.44,5.2,25.28,51.24,43.43,42.83
2010-01-06,29.42,30.19,36.96,39.5,14.15,11.02,10.08,24.68,19.38,31.05,361.6,37.83,12.21,28.10,14.01,23.87,14.1,37.0,32.09,9.45,11.3,7.97,7.98,39.62,29.86,35.91,26.0,9.84,20.56,9.14,3280.99,9.59,11.85,24.92,37.76,20.88,13.45,33.86,37.52,17.15,64.04,7.86,41.05,36.8,3.48,18.86,1295.8,11.13,21.31,21.34,5.21,25.28,51.78,43.9,42.8
2010-01-07,29.41,29.9,36.72,40.02,13.87,11.25,10.38,24.86,19.38,30.8,358.5,37.91,12.15,27.96,14.24,23.54,14.47,36.45,31.5,9.47,11.27,8.0,7.83,40.0,29.52,35.72,25.92,9.93,21.21,9.02,3268.6,9.61,11.8,24.48,37.7,21.3,13.23,33.1,36.31,17.21,63.9,7.75,41.3,37.07,3.56,19.24,1293.05,11.07,21.4,21.5,5.11,25.06,52.5,44.49,42.93
2010-01-08,29.47,29.9,36.7,40.7,13.87,11.18,10.38,25.33,19.75,30.5,355.5,37.0,12.13,28.15,14.66,23.36,14.56,37.21,32.0,9.34,11.35,7.93,7.65,39.2,29.35,35.51,26.9,9.9,22.01,8.99,3216.53,9.82,11.81,23.82,37.88,22.01,12.7,32.2,35.18,17.1,64.2,7.65,41.14,36.86,3.65,19.1,1251.25,10.98,21.25,21.42,5.1,25.35,53.0,45.46,42.56
2010-01-11,29.62,29.85,36.53,41.31,14.1,10.96,10.39,24.37,19.19,30.72,363.3,38.32,12.37,29.12,14.8,23.45,14.7,37.59,32.72,9.4,11.55,8.2,7.6,39.17,29.50,36.12,27.82,10.17,21.68,8.91,3152.89,9.71,11.86,23.89,37.72,22.0,12.92,31.33,35.2,16.92,63.03,7.5,41.12,36.62,3.66,19.43,1289.75,11.3,22.0,21.12,5.15,25.34,53.34,45.56,42.4
2010-01-12,29.72,29.87,36.42,40.8,14.75,10.82,10.2,24.58,18.76,30.31,363.3,38.2,12.32,28.45,15.36,23.41,14.57,37.02,31.94,9.5,11.66,7.69,7.61,37.98,29.01,35.39,26.4,10.17,21.05,8.88,3143.8,9.51,11.69,23.85,37.73,21.43,12.87,31.37,34.87,16.82,62.52,7.6,40.39,36.04,3.62,19.3,1287.55,11.1,21.56,20.87,5.05,24.65,52.3,44.87,42.1
2010-01-13,29.5,30.07,36.78,41.51,14.81,10.82,10.26,25.3,18.49,30.51,370.4,38.56,12.22,28.93,15.72,23.6,14.81,36.73,31.79,9.65,12.1,7.67,8.01,37.15,29.22,35.48,27.25,10.3,20.75,8.9,3140.5,9.57,11.94,24.3,39.0,21.25,12.9,31.28,35.61,16.83,64.21,8.0,39.72,35.84,3.74,20.21,1289.75,11.07,21.13,20.67,5.05,24.42,53.42,46.01,42.2
2010-01-14,29.55,29.82,36.5,41.52,14.8,10.38,10.29,25.02,18.62,30.3,369.0,38.0,12.25,29.32,15.9,23.4,14.22,37.3,32.45,9.6,12.08,7.5,8.15,36.61,29.34,35.42,26.8,10.53,20.41,8.8,3115.7,9.77,12.04,24.23,38.74,21.86,13.07,31.27,35.22,16.7,66.59,8.08,39.61,35.56,3.79,20.45,1278.2,11.14,21.1,20.73,5.1,24.65,53.7,46.29,42.03
2010-01-15,29.09,29.35,35.91,40.67,14.32,10.4,10.32,24.25,18.52,29.65,364.0,37.3,12.44,28.62,15.88,23.02,13.97,35.99,31.11,9.6,12.14,7.55,7.96,35.15,28.50,34.27,25.92,10.96,21.15,8.59,3059.5,10.02,11.8,23.74,37.49,21.66,12.85,31.6,34.71,14.89,66.42,7.86,39.41,35.51,3.84,20.28,1257.85,11.01,20.56,20.33,5.08,24.50,52.85,45.76,41.89
2010-01-18,29.26,29.63,36.2,41.2,14.2,10.46,10.3,24.21,18.98,29.3,359.0,37.3,12.49,28.70,16.25,22.85,13.83,35.33,30.72,9.6,12.19,7.7,7.75,35.91,28.70,34.61,26.27,11.23,20.85,8.69,3086.78,10.1,11.68,24.0,37.68,22.05,13.03,31.42,35.0,14.38,67.0,8.08,40.08,35.77,3.82,20.49,1258.95,10.88,21.1,20.32,5.13,25.00,53.3,45.97,41.83
2010-01-19,29.03,29.54,36.01,41.2,13.99,10.52,10.36,24.01,18.78,29.02,356.8,37.08,12.25,28.65,16.33,22.81,13.55,35.27,30.3,9.55,12.09,7.52,7.83,36.23,28.48,34.40,26.08,11.3,20.9,8.61,3075.21,10.13,11.34,23.85,38.04,22.25,12.99,31.5,34.03,14.1,66.42,7.9,40.3,36.24,3.83,20.5,1254.55,10.73,21.3,20.15,5.08,24.82,53.51,46.38,41.8
2010-01-20,27.84,26.1,32.0,41.09,13.8,10.6,10.66,23.7,18.18,29.2,356.0,36.4,12.31,28.08,16.5,21.55,13.31,35.97,30.45,9.82,11.73,7.42,7.85,37.04,27.32,33.18,25.45,11.33,21.31,8.38,2953.72,9.85,11.22,23.88,36.98,22.5,12.81,30.74,34.61,13.6,67.2,7.61,39.42,35.26,3.84,20.1,1240.25,10.47,21.43,20.16,4.92,24.22,53.0,46.1,41.7
2010-01-21,27.86,25.58,31.38,39.79,13.8,10.53,10.7,22.7,17.98,29.24,357.0,36.68,12.21,27.26,15.7,21.05,13.31,36.65,30.71,9.8,11.71,7.07,7.65,35.88,26.16,31.92,24.32,10.82,21.2,8.26,2928.1,9.37,10.7,23.85,35.62,22.1,12.13,29.88,34.25,13.67,64.4,7.51,38.19,34.29,3.66,19.15,1204.5,10.33,20.65,20.21,4.92,22.94,51.29,44.49,41.61
2010-01-22,27.94,25.55,31.31,38.96,13.5,10.52,10.1,22.06,18.12,29.28,356.4,36.61,12.14,26.68,15.98,20.82,13.48,38.28,31.8,9.78,11.76,7.0,7.3,34.31,25.70,31.50,23.16,10.98,21.05,8.27,2923.97,9.34,10.68,23.82,35.41,21.84,12.2,29.6,34.36,13.38,63.5,7.55,37.95,34.06,3.62,18.89,1185.8,10.1,20.8,20.24,4.93,22.96,50.19,43.5,41.71
2010-01-26,27.51,25.51,31.01,38.41,13.19,10.69,9.84,22.0,18.6,28.98,357.2,36.7,12.2,26.00,15.5,20.41,13.56,39.61,33.7,9.5,11.85,6.87,7.48,32.81,25.55,31.32,22.81,10.67,19.86,8.22,2896.69,9.15,10.25,24.04,34.41,20.8,12.15,29.82,33.4,13.4,63.0,7.28,37.25,33.65,3.6,18.9,1190.75,10.1,20.0,20.29,5.0,23.05,49.1,42.26,41.7
2010-01-27,27.2,25.6,31.05,37.6,13.1,10.47,9.9,22.6,18.76,30.17,358.1,37.19,12.26,26.29,14.88,21.68,13.28,39.05,33.05,9.64,11.83,6.9,7.49,32.6,25.45,31.13,23.35,10.17,20.2,8.23,2924.79,9.11,10.33,24.65,34.9,21.5,12.16,29.86,33.15,13.4,62.15,7.52,37.25,33.51,3.51,18.62,1201.2,10.05,19.51,20.31,4.93,23.38,48.15,41.32,41.65
2010-01-28,27.13,25.56,31.03,37.6,13.1,10.22,9.98,22.68,18.81,30.07,361.7,37.32,11.99,26.54,14.88,21.85,13.24,38.1,33.0,9.55,11.73,6.83,7.21,33.82,25.11,30.75,23.46,9.93,21.2,8.26,2945.45,9.19,10.34,24.71,34.55,21.36,11.85,29.91,34.09,13.1,62.15,7.21,37.9,33.87,3.58,18.14,1219.9,10.07,19.8,20.28,4.98,23.80,48.02,41.42,40.95
2010-01-29,27.67,25.5,31.05,38.5,13.13,10.11,9.88,23.19,18.48,30.98,362.5,37.51,12.1,27.26,14.52,21.42,13.33,38.8,33.55,9.84,11.77,7.07,7.52,34.05,25.25,31.00,23.1,9.9,21.51,8.34,2966.94,9.23,10.46,24.8,34.65,22.04,11.92,29.91,33.71,13.09,62.38,7.31,37.96,33.93,3.66,18.5,1230.35,10.38,19.96,20.05,4.92,24.60,48.51,41.98,41.26
2010-02-01,28.35,25.68,31.43,38.5,13.13,10.11,10.0,22.84,18.5,31.0,362.0,38.4,12.12,27.50,14.2,21.65,13.31,28.19,33.3,9.68,11.75,7.34,7.5,33.6,25.34,31.10,22.87,10.22,21.36,8.44,2983.47,9.3,10.44,24.5,35.17,21.9,12.08,30.0,33.85,12.91,62.44,7.38,38.05,33.9,3.74,18.18,1210.0,10.27,19.92,20.0,4.93,24.40,48.9,42.0,41.08
2010-02-02,29.83,26.04,32.01,39.63,13.28,10.15,10.03,23.8,18.62,30.49,364.0,38.4,12.3,27.92,14.76,22.61,13.51,28.36,32.91,9.6,11.61,7.5,7.37,34.7,26.15,32.04,23.4,10.8,22.28,8.56,3042.98,9.36,10.79,24.93,35.82,22.94,12.34,29.85,34.39,13.05,63.32,7.61,38.13,34.06,3.89,19.15,1204.5,10.63,19.86,19.9,5.08,24.76,50.1,43.42,41.19
