?Date,BVMF:BBAS3,BVMF:BBDC3,BVMF:BBDC4,BVMF:BRAP4,BVMF:BRKM5,BVMF:BRML3,BVMF:CCRO3,BVMF:CESP6,BVMF:CIEL3,BVMF:CMIG4,BVMF:CPFE3,BVMF:CPLE6,BVMF:CRUZ3,BVMF:CSNA3,BVMF:CTIP3,BVMF:CYRE3,BVMF:DTEX3,BVMF:ELET3,BVMF:ELET6,BVMF:EMBR3,BVMF:ENBR3,BVMF:ESTC3,BVMF:EVEN3,BVMF:FIBR3,BVMF:GGBR4,BVMF:GOAU4,BVMF:GOLL4,BVMF:HGTX3,BVMF:HYPE3,BVMF:ITSA4,BVMF:ITUB4,BVMF:JBSS3,BVMF:LAME4,BVMF:LIGT3,BVMF:LREN3,BVMF:MRFG3,BVMF:MRVE3,BVMF:MULT3,BVMF:NATU3,BVMF:OIBR4,BVMF:PCAR4,BVMF:PDGR3,BVMF:PETR3,BVMF:PETR4,BVMF:POMO4,BVMF:RENT3,BVMF:SANB11,BVMF:SBSP3,BVMF:SUZB5,BVMF:TBLE3,BVMF:TIMP3,BVMF:USIM5,BVMF:VALE3,BVMF:VALE5,BVMF:VIVT4
2010-01-04,3624700,259500,3601600,707800,813700,1721800,1447200,869500,3157440,1300900,29640,368600,1135000,3174400,792900,3656100,1405294,952800,938400,2967000,1043400,118200,178000,975500,2827700,583300,1155600,130800,585800,7038994,65253,1350500,1810625,999500,947000,678800,5239600,350500,709200,777700,343300,23408200,4892000,13303600,750400,472290,27344,1066500,555900,738200,2265700,3895000,2381400,10922600,78700
2010-01-05,3064900,162600,4246200,1067800,1478400,1865800,3492400,1326200,1750560,1661800,41640,398200,1541500,5379400,760300,3938400,2321022,678100,794800,2909200,2598000,45300,477400,1973400,4480400,1226000,1749200,668400,1099000,6703981,47346,1985400,3568750,1553600,1003700,1788600,2611300,367600,493900,371700,676600,12259200,3828900,21396400,383000,858585,23302,821400,1016800,962000,3218400,4049000,3001800,21663900,69600
2010-01-06,2733100,73000,3736000,2081300,938500,1792000,5304800,913400,4102240,1891700,38700,451100,870000,4925600,361000,3261400,3091429,1097500,860300,4814900,1693200,48900,294100,1768600,4499900,646800,1581400,1256400,1097600,6751764,58416,3287100,4933875,1180500,1369200,2898000,3174000,188800,402700,715400,670600,12855600,3434000,18720600,4225800,1130850,14285,1120200,779400,948100,5150100,3879600,2742800,18624000,109300
2010-01-07,1542200,147300,2201800,908300,1116500,916600,1464400,884300,7198400,1227300,31530,571600,726000,5134000,454100,3224300,1232748,770000,440600,1458700,841800,38400,290800,1220000,5695900,1048300,1057600,771600,634600,5643041,54912,2313200,3400625,1935700,1692100,2699400,2615200,84400,1261800,296500,538800,10635800,2794400,10964600,1141000,446670,19453,972900,521200,435400,6392300,4672400,2543100,15181200,67100
2010-01-08,2038900,110000,2390300,434600,800900,658200,1652000,710300,3369760,1081700,40840,580900,1524000,8016400,138000,2128500,1266749,686600,714100,3497500,812100,33000,419400,807300,4269500,1003400,3082100,974700,821500,5948505,53712,2876500,2058750,2169400,1255000,2031100,4063300,138500,1250400,268200,383000,9201400,3116900,14624200,725600,384930,20889,1871100,659800,862500,4662100,3605200,2444500,16596300,121000
2010-01-11,2412800,134600,3255100,853300,3149300,1360200,1882400,1403500,2047120,1022400,54790,549500,863500,4511000,1180900,2062500,2137102,866100,882700,1904000,808500,150600,360200,692300,3923600,1764100,1934400,397800,693200,7818028,74629,2355600,1634500,1229400,660300,1164700,2079300,393200,710300,447400,349100,11123800,3400300,15317700,913600,502320,29175,1086000,726300,751200,7070600,2811600,2785300,11778000,75500
2010-01-12,2676000,100700,3339600,632700,1598900,486200,3600800,871200,3791520,1732300,47430,626200,701000,4236800,1355000,2329600,2735326,552000,753400,3994100,2098500,75000,465300,1123200,4589300,885600,1367200,577200,2268500,5686298,51386,3319700,2336875,1694000,991300,2072500,3832200,313100,1138900,558200,561300,13217600,2076400,14886200,2738800,495390,16771,975900,355400,1388300,3564100,4579600,2606400,14859600,92100
2010-01-13,2474100,276900,3124200,665900,1221500,2475000,6491600,720900,3780880,1452600,37790,771200,628000,6085600,850100,2206600,2459930,1346700,1093200,4440700,897300,53100,1015600,1556700,4218900,658800,1017400,1381500,1152200,8586547,54330,2869900,2217375,1379900,886500,1731700,3799200,724900,906900,391800,511900,7551800,6290800,23228200,1403800,595980,21436,1906800,587600,917100,5876300,5845600,2635700,17542800,66000
2010-01-14,1693300,164900,3678200,448900,1017900,3845600,3454800,711900,1770880,1265100,30930,364200,1992500,3882200,800200,2363800,2629209,751100,661900,2678900,1106700,55200,379000,1087200,3550300,672900,1511400,543300,1254200,7116325,55592,12483800,1720875,955700,482800,1357000,2852600,274400,983900,404800,1571200,7496000,3148700,20073400,927800,998445,16991,628800,351600,593200,3540600,3081200,1593300,18727100,72000
2010-01-15,2202900,166600,4064200,1010900,1696600,3561000,2046400,674900,1767280,1421300,31940,342800,1089000,3658600,671700,3369700,1930313,784700,605100,2197300,804900,134400,141500,1983200,4780500,912900,1628200,496200,593000,9146499,89807,5932700,1795500,1000100,1007400,1153300,3211400,217000,729500,3523800,813900,9048200,4581400,21169000,1529200,613725,15482,1031700,774400,577800,3251200,3317000,2225400,17296000,131000
