?Date,BVMF:BBAS3,BVMF:BBDC3,BVMF:BBDC4,BVMF:BRAP4,BVMF:BRKM5,BVMF:BRML3,BVMF:CCRO3,BVMF:CESP6,BVMF:CIEL3,BVMF:CMIG4,BVMF:CPFE3,BVMF:CPLE6,BVMF:CRUZ3,BVMF:CSNA3,BVMF:CTIP3,BVMF:CYRE3,BVMF:DTEX3,BVMF:ELET3,BVMF:ELET6,BVMF:EMBR3,BVMF:ENBR3,BVMF:ESTC3,BVMF:EVEN3,BVMF:FIBR3,BVMF:GGBR4,BVMF:GOAU4,BVMF:GOLL4,BVMF:HGTX3,BVMF:HYPE3,BVMF:ITSA4,BVMF:ITUB4,BVMF:JBSS3,BVMF:LAME4,BVMF:LIGT3,BVMF:LREN3,BVMF:MRFG3,BVMF:MRVE3,BVMF:MULT3,BVMF:NATU3,BVMF:OIBR4,BVMF:PCAR4,BVMF:PDGR3,BVMF:PETR3,BVMF:PETR4,BVMF:POMO4,BVMF:RENT3,BVMF:SANB11,BVMF:SBSP3,BVMF:SUZB5,BVMF:TBLE3,BVMF:TIMP3,BVMF:USIM5,BVMF:VALE3,BVMF:VALE5,BVMF:VIVT4
2010-01-04,29.9,31.0,37.7,39.2,14.25,10.8,10.02,24.46,19.75,31.37,365.0,38.25,12.2,28.1,14.05,24.2,14.0,37.79,33.0,9.87,11.25,8.07,8.3,39.3,29.6,35.77,26.3,9.83,20.48,9.29,3315.7,9.67,12.6,25.63,40.25,19.4,13.75,33.7,37.9,17.02,65.42,8.2,41.65,37.32,3.51,18.57,1306.25,11.32,20.85,21.58,5.2,25.5,51.49,43.52,43.2
2010-01-05,29.6,30.56,37.5,39.99,14.12,11.0,10.16,25.1,19.61,31.85,360.6,38.3,12.39,28.36,14.1,23.97,14.63,37.48,32.5,9.64,11.33,8.17,8.13,40.8,30.1,36.2,26.08,9.88,20.75,9.26,3337.19,9.58,12.16,25.0,38.8,20.8,13.57,33.55,37.42,17.28,64.44,8.08,41.4,37.0,3.52,18.82,1318.9,11.33,21.77,21.75,5.27,25.58,51.97,44.13,42.9
2010-01-06,29.64,30.38,37.2,40.55,14.46,11.5,10.5,25.4,19.56,31.25,363.0,38.47,12.3,28.4,14.65,24.0,15.03,37.0,32.09,9.6,11.5,8.3,8.04,40.71,30.3,36.56,26.38,10.0,21.56,9.15,3308.26,9.73,11.93,24.98,38.05,21.35,13.8,34.0,37.88,17.43,64.48,8.0,41.81,37.5,3.62,20.29,1312.3,11.33,22.0,21.53,5.37,25.55,53.07,45.0,43.29
2010-01-07,29.65,30.31,37.1,41.0,14.1,11.35,10.4,26.25,20.02,30.95,358.5,38.1,12.27,28.1,14.74,23.54,14.96,37.86,32.8,9.47,11.58,8.17,7.92,40.38,29.62,35.84,26.66,10.0,21.82,9.1,3274.38,9.95,11.92,24.48,37.7,22.4,13.3,33.85,36.6,17.31,65.3,7.92,41.56,37.15,3.7,19.43,1302.95,11.15,21.9,21.67,5.15,25.79,53.29,45.3,43.07
2010-01-08,29.82,30.35,37.06,41.6,13.9,11.25,10.4,25.4,19.78,30.92,363.0,38.25,12.64,28.74,14.9,23.5,14.99,38.5,33.18,9.45,11.73,8.17,7.78,39.5,29.54,35.9,27.95,10.2,22.4,9.03,3224.79,9.96,11.96,24.0,37.9,22.85,12.91,32.35,36.0,17.24,64.5,7.65,41.25,36.95,3.77,19.61,1289.75,11.34,22.0,21.49,5.18,25.42,53.81,45.55,42.65
2010-01-11,30.05,30.25,37.09,41.78,15.25,11.06,10.5,25.34,19.5,30.9,371.5,38.85,12.68,29.3,15.8,23.73,14.88,37.9,33.05,9.54,11.94,8.2,7.63,39.65,29.56,36.5,28.03,10.28,22.05,9.0,3196.69,9.81,12.0,23.9,38.6,22.15,13.08,31.71,35.28,17.13,63.8,7.74,41.29,36.83,3.72,19.71,1303.5,11.42,22.3,21.12,5.21,25.5,53.65,45.75,42.57
2010-01-12,29.8,30.4,37.2,41.79,15.1,10.94,10.5,25.55,18.91,31.05,374.0,39.62,12.46,28.76,15.9,24.12,15.53,37.55,32.55,9.86,12.33,7.8,7.67,38.23,29.35,35.92,27.5,10.3,21.15,9.0,3166.94,9.55,12.18,24.24,39.5,22.0,13.3,31.65,36.1,17.05,65.95,8.05,40.77,36.36,3.9,20.29,1305.7,11.2,21.77,21.1,5.17,24.8,53.5,45.85,42.57
2010-01-13,30.18,30.6,37.4,42.16,14.9,10.92,10.35,25.86,18.69,31.11,372.0,38.88,12.34,29.25,15.9,23.75,14.87,37.91,33.19,9.76,12.14,7.67,8.25,37.5,29.49,36.0,27.79,10.5,20.87,8.97,3176.86,9.87,12.31,24.46,39.95,22.2,13.11,31.3,35.61,17.0,66.2,8.15,40.4,36.3,3.88,20.4,1314.5,11.33,22.0,20.9,5.17,24.85,54.16,46.51,42.21
2010-01-14,29.75,30.2,36.6,41.94,14.9,10.38,10.4,25.2,18.94,30.4,370.3,38.26,12.63,29.5,16.35,23.53,14.22,37.3,32.45,9.67,12.23,7.5,8.17,36.81,29.46,35.62,26.81,10.73,21.69,8.84,3133.06,10.6,12.1,24.5,39.06,22.45,13.24,31.7,35.5,16.7,67.6,8.15,39.75,35.67,3.88,20.45,1278.75,11.17,21.1,20.8,5.16,24.99,54.15,46.38,42.37
2010-01-15,29.25,29.52,36.08,41.45,14.45,10.52,10.32,24.88,18.96,29.9,365.3,37.7,12.7,28.88,16.5,23.24,14.13,35.99,31.15,9.76,12.3,7.61,8.06,35.5,28.85,34.77,26.2,11.13,21.5,8.63,3080.17,10.13,11.97,24.0,37.68,22.84,13.0,31.8,35.16,14.89,67.9,8.16,39.99,35.75,3.84,20.28,1259.5,11.17,20.74,20.45,5.16,25.15,53.45,46.14,42.34
2010-01-18,29.26,29.8,36.4,41.46,14.3,10.5,10.36,24.21,19.16,29.3,360.0,37.42,12.49,29.0,16.8,22.98,13.83,36.0,31.0,9.6,12.28,7.7,7.92,36.5,28.7,34.74,26.51,11.52,21.0,8.71,3107.44,10.33,11.68,24.12,38.05,22.97,13.1,32.0,35.1,14.5,67.25,8.1,40.9,36.55,3.9,20.9,1265.0,10.88,21.41,20.5,5.28,25.05,54.2,46.7,41.99
2010-01-19,29.75,30.29,36.73,43.0,14.25,10.56,11.0,25.15,18.86,29.87,362.5,37.98,12.58,29.31,17.1,22.96,14.04,37.2,32.09,10.07,12.17,7.6,8.11,38.15,28.61,34.9,26.82,11.49,21.64,8.78,3099.17,10.45,11.8,24.2,38.5,23.85,13.35,32.1,36.05,14.2,68.01,7.9,40.67,36.38,3.99,20.95,1272.7,10.87,22.1,20.64,5.13,25.3,54.95,47.25,41.89
2010-01-20,28.86,26.68,32.6,41.75,14.05,11.0,11.05,24.05,18.32,29.5,363.0,37.3,12.64,28.6,16.57,21.89,13.64,36.7,30.86,9.95,12.07,7.42,8.02,37.26,27.6,33.65,26.2,11.5,21.7,8.5,3017.36,10.01,11.31,24.0,37.01,23.0,13.2,30.8,35.4,13.96,68.19,7.75,39.55,35.45,3.87,20.14,1245.75,10.57,21.53,20.62,5.08,24.34,53.45,46.41,42.0
